,Manufacturer,Family,Model,Core,Frequency,Cache,CPU Rev.,Power
0,ASROCK,Ryzen 9,5950X(100-000000059),Vermeer,3.4GHz,8MB,B2,105W
1,ASROCK,Ryzen 9,5900(100-000000062),Vermeer,3.0GHz,6MB,B2,65W
2,ASROCK,Ryzen 9,5900X(100-000000061),Vermeer,3.7GHz,6MB,B2,105W
3,ASROCK,Ryzen 9,5950X (100-000000059-00),Vermeer,3.4GHz,8MB,B0,105W
4,ASROCK,Ryzen 9,5900X (100-000000061-00),Vermeer,3.7GHz,6MB,B0,105W
5,ASROCK,Ryzen 7,5800X3D(100-000000651),Vermeer,3.4GHz,4MB,,105W
6,ASROCK,Ryzen 7,5800X(100-000000063),Vermeer,3.8GHz,4MB,B2,105W
7,ASROCK,Ryzen 7,5800X (100-000000063-00),Vermeer,3.8GHz,4MB,B0,105W
8,ASROCK,Ryzen 7,5800(100-000000456),Vermeer,3.4GHz,4MB,B2,65W
9,ASROCK,Ryzen 7,5700X(100-000000926),Vermeer,3.4GHz,4MB,,65W
10,ASROCK,Ryzen 5,5600X(100-000000065),Vermeer,3.7GHz,3MB,B2,65W
11,ASROCK,Ryzen 5,5600X (100-000000065-00),Vermeer,3.7GHz,3MB,B0,65W
12,ASROCK,Ryzen 5,5600(100-000000927),Vermeer,3.5GHz,3MB,,65W
13,ASROCK,Ryzen 7,1800X (YD180XBCM88AE),Summit Ridge,3.6GHz,4MB,B1,95W
14,ASROCK,Ryzen 7,PRO 1700X (YD17XBBAM88AE),Summit Ridge,3.4GHz,4MB,B1,95W
15,ASROCK,Ryzen 7,PRO 1700 (YD170BBBM88AE),Summit Ridge,3.0GHz,4MB,B1,65W
16,ASROCK,Ryzen 7,1700X (YD170XBCM88AE),Summit Ridge,3.4GHz,4MB,B1,95W
17,ASROCK,Ryzen 7,1700 (YD1700BBM88AE),Summit Ridge,3.0GHz,4MB,B1,65W
18,ASROCK,Ryzen 5,PRO 1600 (YD160BBBM6IAE),Summit Ridge,3.2GHz,3MB,B1,65W
19,ASROCK,Ryzen 5,1600X (YD160XBCM6IAE),Summit Ridge,3.6GHz,3MB,B1,95W
20,ASROCK,Ryzen 5,1600 (YD1600BBM6IAE),Summit Ridge,3.2GHz,3MB,B1,65W
21,ASROCK,Ryzen 5,PRO 1500 (YD150BBBM4GAE),Summit Ridge,3.5GHz,2MB,B1,65W
22,ASROCK,Ryzen 5,1500X (YD150XBBM4GAE),Summit Ridge,3.5GHz,2MB,B1,65W
23,ASROCK,Ryzen 5,1400 (YD1400BBM4KAE),Summit Ridge,3.2GHz,2MB,B1,65W
24,ASROCK,Ryzen 3,PRO 1300 (YD130BBBM4KAE),Summit Ridge,3.4GHz,2MB,B1,65W
25,ASROCK,Ryzen 3,1300X (YD130XBBM4KAE),Summit Ridge,3.4GHz,2MB,B1,65W
26,ASROCK,Ryzen 3,PRO 1200 (YD120BBBM4KAE),Summit Ridge,3.1GHz,2MB,B1,65W
27,ASROCK,Ryzen 3,1200 (YD1200BBM4KAE),Summit Ridge,3.1GHz,2MB,B1,65W
28,ASROCK,Ryzen 7,PRO 4750G(100-000000145),Renoir,3.6GHz,4MB,A1,65W
29,ASROCK,Ryzen 7,PRO 4750GE(100-000000152),Renoir,3.1GHz,,A1,35W
30,ASROCK,Ryzen 7,4700G(100-000000146),Renoir,3.6GHz,4MB,A1,65W
31,ASROCK,Ryzen 7,4700GE(100-000000149),Renoir,3.1GHz,,A1,35W
32,ASROCK,Ryzen 5,PRO 4650G(100-000000143),Renoir,3.7GHz,3MB,A1,65W
33,ASROCK,Ryzen 5,PRO 4650GE(100-000000153),Renoir,3.3GHz,,A1,35W
34,ASROCK,Ryzen 5,4600G(100-000000147),Renoir,3.7GHz,3MB,A1,65W
35,ASROCK,Ryzen 5,4600GE(100-000000150),Renoir,3.3GHz,,A1,35W
36,ASROCK,Ryzen 5,4500(100-000000644),Renoir,4.1GHz,3MB,,45-65W
37,ASROCK,Ryzen 3,PRO 4350G(100-000000148),Renoir,3.8GHz,2MB,A1,65W
38,ASROCK,Ryzen 3,PRO 4350GE(100-000000154),Renoir,3.5GHz,,A1,35W
39,ASROCK,Ryzen 3,4300G(100-000000144),Renoir,3.8GHz,2MB,A1,65W
40,ASROCK,Ryzen 3,4300GE(100-000000151),Renoir,3.5GHz,,A1,35W
41,ASROCK,Ryzen 3,4100(100-000000510),Renoir,4GHz,2MB,,65W
42,ASROCK,Ryzen 5,PRO 2400G (YD240BC5M4MFB),Raven Ridge,3.6GHz,2MB,B0,65W
43,ASROCK,Ryzen 5,PRO 2400GE (YD240BC6M4MFB),Raven Ridge,3.2GHz,2MB,B0,35W
44,ASROCK,Ryzen 5,2400G (YD2400C5M4MFB),Raven Ridge,3.6GHz,2MB,B0,65W
45,ASROCK,Ryzen 5,2400GE (YD2400C6M4MFB),Raven Ridge,3.2GHz,2MB,B0,35W
46,ASROCK,Ryzen 3,PRO 2200G (YD220BC5M4MFB),Raven Ridge,3.5GHz,2MB,B0,65W
47,ASROCK,Ryzen 3,PRO 2200GE (YD220BC6M4MFB),Raven Ridge,3.2GHz,2MB,B0,35W
48,ASROCK,Ryzen 3,2200G (YD2200C5M4MFB),Raven Ridge,3.5GHz,2MB,B0,65W
49,ASROCK,Ryzen 3,2200GE (YD2200C6M4MFB),Raven Ridge,3.2GHz,2MB,B0,35W
50,ASROCK,Athlon,3000G(YD3000C6M2OFB),Raven Ridge,3.5GHz,1MB,B0,35W
51,ASROCK,Athlon,Athlon 240GE (YD240GC6M2OFB),Raven Ridge,3.5GHz,1MB,B0,35W
52,ASROCK,Athlon,Athlon 220GE (YD220GC6M2OFB),Raven Ridge,3.4GHz,1MB,B0,35W
53,ASROCK,Athlon,Athlon PRO 200GE (YD200BC6M2OFB),Raven Ridge,3.2GHz,1MB,B0,35W
54,ASROCK,Athlon,Athlon 200GE (YD200GC6M2OFB),Raven Ridge,3.2GHz,1MB,B0,35W
55,ASROCK,Athlon,Athlon 200GE(YD20GGC6M2OFB),Raven Ridge,3.2GHz,1MB,B0,35W
56,ASROCK,Ryzen 7,PRO 2700X (YD27BXBAM88AF),Pinnacle Ridge,3.6GHz,4MB,B2,95W
57,ASROCK,Ryzen 7,PRO 2700 (YD270BBBM88AF),Pinnacle Ridge,3.2GHz,4MB,B2,65W
58,ASROCK,Ryzen 7,2700X (YD270XBGM88AF),Pinnacle Ridge,3.7GHz,4MB,B2,105W
59,ASROCK,Ryzen 7,2700 (YD2700BBM88AF),Pinnacle Ridge,3.2GHz,4MB,B2,65W
60,ASROCK,Ryzen 7,2700E (YD270EBHM88AF),Pinnacle Ridge,2.8GHz,4MB,B2,45W
61,ASROCK,Ryzen 5,PRO 2600 (YD260BBBM6IAF),Pinnacle Ridge,3.4GHz,3MB,B2,65W
62,ASROCK,Ryzen 5,2600X (YD260XBCM6IAF),Pinnacle Ridge,3.6GHz,3MB,B2,95W
63,ASROCK,Ryzen 5,2600 (YD2600BBM6IAF),Pinnacle Ridge,3.4GHz,3MB,B2,65W
64,ASROCK,Ryzen 5,2600E (YD260EBHM6IAF),Pinnacle Ridge,3.1GHz,3MB,B2,45W
65,ASROCK,Ryzen 5,2500X (YD250XBBM4KAF),Pinnacle Ridge,3.6GHz,2MB,B2,65W
66,ASROCK,Ryzen 5,1600(YD1600BBM6IAF),Pinnacle Ridge,3.2GHz,3MB,B2,65W
67,ASROCK,Ryzen 3,2300X (YD230XBBM4KAF),Pinnacle Ridge,3.5GHz,2MB,B2,65W
68,ASROCK,Ryzen 3,1200 (YD1200BBM4KAF),Pinnacle Ridge,3.1GHz,2MB,B2,65W
69,ASROCK,Ryzen 5,PRO 3400G(YD340BC5M4MFI),Picasso,3.7GHz,2MB,,45-65W
70,ASROCK,Ryzen 5,PRO 3400G (YD340BC5M4MFH),Picasso,3.7GHz,2MB,B1,65W
71,ASROCK,Ryzen 5,PRO 3400GE (YD340BC6M4MFH),Picasso,3.3GHz,2MB,B1,35W
72,ASROCK,Ryzen 5,3400G(YD340GC5M4MFI),Picasso,3.7GHz,2MB,,45~65W
73,ASROCK,Ryzen 5,3400G (YD340GC5M4MFH),Picasso,3.7GHz,2MB,B1,65W
74,ASROCK,Ryzen 5,3400G (YD3400C5M4MFH),Picasso,3.7GHz,2MB,B1,65W
75,ASROCK,Ryzen 5,3400GE (YD3400C6M4MFH),Picasso,3.3GHz,2MB,B1,35W
76,ASROCK,Ryzen 5,3350G(YD3350C5M4MFH),Picasso,3.6GHz,2MB,B1,65W
77,ASROCK,Ryzen 3,PRO 3200G(YD320BC5M4MFI),Picasso,3.6GHz,2MB,,45-65W
78,ASROCK,Ryzen 3,PRO 3200G (YD320BC5M4MFH),Picasso,3.6GHz,2MB,B1,65W
79,ASROCK,Ryzen 3,PRO 3200GE (YD320BC6M4MFH),Picasso,3.3GHz,2MB,B1,35W
80,ASROCK,Ryzen 3,3200G(YD320GC5M4MFI),Picasso,3.6GHz,2MB,,45~65W
81,ASROCK,Ryzen 3,3200G (YD320GC5M4MFH),Picasso,3.6GHz,2MB,B1,65W
82,ASROCK,Ryzen 3,3200G (YD3200C5M4MFH),Picasso,3.6GHz,2MB,B1,65W
83,ASROCK,Ryzen 3,3200GE (YD3200C6M4MFH),Picasso,3.3GHz,2MB,B1,35W
84,ASROCK,Athlon PRO,3150GE(YD315BC6M4MFH),Picasso,3.3GHz,2MB,,35W
85,ASROCK,Athlon,320GE (YD32GEC6M2OFH),Picasso,3.5GHz,1MB,B1,35W
86,ASROCK,Athlon,PRO 300GE (YD300BC6M2OFH),Picasso,3.4GHz,1MB,B1,35W
87,ASROCK,Athlon,3000G (YD3000C6M2OFH),Picasso,3.5GHz,1MB,B1,35W
88,ASROCK,Athlon,300GE (YD30GEC6M2OFH),Picasso,3.4GHz,1MB,B1,35W
89,ASROCK,Ryzen 9,3900XT(100-000000277),Matisse 2,4.1GHz,,,105W
90,ASROCK,Ryzen 7,3800XT(100-000000279),Matisse 2,4.2GHz,,,105W
91,ASROCK,Ryzen 5,3600XT(100-000000281),Matisse 2,4.0GHz,,,95W
92,ASROCK,Ryzen 9,3950X (100-000000051),Matisse,3.5GHz,8MB,B0,105W
93,ASROCK,Ryzen 9,PRO 3900 (100-000000072),Matisse,3.1GHz,6MB,B0,65W
94,ASROCK,Ryzen 9,3900X (100-000000023),Matisse,3.8GHz,6MB,B0,105W
95,ASROCK,Ryzen 9,3900 (100-000000070),Matisse,3.1GHz,6MB,B0,65W
96,ASROCK,Ryzen 7,3800X (100-000000025),Matisse,3.9GHz,4MB,B0,105W
97,ASROCK,Ryzen 7,PRO 3700 (100-000000073),Matisse,3.6GHz,4MB,B0,65W
98,ASROCK,Ryzen 7,3700X (100-000000071),Matisse,3.6GHz,4MB,B0,65W
99,ASROCK,Ryzen 5,PRO 3600 (100-000000029),Matisse,3.6GHz,3MB,B0,65W
100,ASROCK,Ryzen 5,3600X (100-000000022),Matisse,3.8GHz,3MB,B0,95W
101,ASROCK,Ryzen 5,3600 (100-000000031),Matisse,3.6GHz,3MB,B0,65W
102,ASROCK,Ryzen 5,3500X (100-000000158),Matisse,3.6GHz,3MB,B0,65W
103,ASROCK,Ryzen 5,3500 (100-000000050),Matisse,3.6GHz,3MB,B0,65W
104,ASROCK,Ryzen 3,3300X (100-000000159),Matisse,3.8GHz,2MB,B0,65W
105,ASROCK,Ryzen 3,3100 (100-000000284),Matisse,3.6GHz,2MB,B0,65W
106,ASROCK,Ryzen 7,PRO 5750GE(100-000000257-00),Cezanne,,,,
107,ASROCK,Ryzen 7,PRO 5750G(100-000000254-00),Cezanne,,,,
108,ASROCK,Ryzen 7,5700G(100-000000263-00),Cezanne,3.8GHz,4MB,,45~65W
109,ASROCK,Ryzen 7,5700GE(100-000000260-00),Cezanne,3.2GHz,4MB,,35W
110,ASROCK,Ryzen 5,PRO 5650GE(100-000000258-00),Cezanne,,,,
111,ASROCK,Ryzen 5,PRO 5650G(100-000000255-00),Cezanne,,,,
112,ASROCK,Ryzen 5,5600G(100-000000252-00),Cezanne,3.9GHz,3MB,,45~65W
113,ASROCK,Ryzen 5,5600GE(100-000000261-00),Cezanne,3.4GHz,3MB,,35W
114,ASROCK,Ryzen 5,5500(100-000000457),Cezanne,3.6GHz,3MB,,65W
115,ASROCK,Ryzen 3,PRO 5350GE(100-000000259-00),Cezanne,,,,
116,ASROCK,Ryzen 3,5300GE(100-000000262-00),Cezanne,3.6GHz,2MB,,35W
117,ASROCK,Ryzen 3,PRO 5350G(100-000000256-00),Cezanne,,,,
118,ASROCK,Ryzen 3,5300G(100-000000253-00),Cezanne,4.0GHz,2MB,,45~65W
119,ASROCK,Athlon X4,Athlon X4 970 (AD970XAUM44AB),Bristol Ridge,3.8GHz,2MB,A1,65W
120,ASROCK,Athlon X4,Athlon X4 950 (AD950XAGM44AB),Bristol Ridge,3.5GHz,2MB,A1,65W
121,ASROCK,Athlon X4,Athlon X4 940 (AD940XAGM44AB),Bristol Ridge,3.2GHz,2MB,A1,65W
122,ASROCK,A8,A8-9600 (AD9600AGM44AB),Bristol Ridge,3.1GHz,2MB,A1,65W
123,ASROCK,A6,A6-9550 (AD9550AGM23AB),Bristol Ridge,3.8GHz,1MB,A1,65W
124,ASROCK,A6,A6-9500 (AD9500AGM23AB),Bristol Ridge,3.5GHz,1MB,A1,65W
125,ASROCK,A6,A6-9500E (AD9500AHM23AB),Bristol Ridge,3.0GHz,1MB,A1,35W
126,ASROCK,A6,A6-9400 (AD9400AGM23AB),Bristol Ridge,3.4GHz,1MB,A1,65W
127,ASROCK,A12,A12-9800 (AD9800AUM44AB),Bristol Ridge,3.8GHz,2MB,A1,65W
128,ASROCK,A12,A12-9800E (AD9800AHM44AB),Bristol Ridge,3.1GHz,2MB,A1,35W
129,ASROCK,A10,A10-9700 (AD9700AGM44AB),Bristol Ridge,3.5GHz,2MB,A1,65W
130,ASROCK,A10,A10-9700E (AD9700AHM44AB),Bristol Ridge,3.0GHz,2MB,A1,35W
