,Intel,Intel,Intel,Intel
,Name,Cores,Socket,Released
0,Celeron 7300,5 / 6,BGA 1781,"Feb 23rd, 2022"
1,Celeron 7305,5 / 6,BGA 1744,"Feb 23rd, 2022"
2,Celeron G6900,2,Socket 1700,"Jan 4th, 2022"
3,Celeron G6900E,2,Socket 1700,"Jan 4th, 2022"
4,Celeron G6900T,2,Socket 1700,"Jan 4th, 2022"
5,Celeron G6900TE,2,Socket 1700,"Jan 4th, 2022"
6,Core i3-12100,4 / 8,Socket 1700,"Jan 4th, 2022"
7,Core i3-12100E,4 / 8,Socket 1700,"Jan 4th, 2022"
8,Core i3-12100F,4 / 8,Socket 1700,Jan 2022
9,Core i3-12100T,4 / 8,Socket 1700,Jan 2022
10,Core i3-12100TE,4 / 8,Socket 1700,Jan 2022
11,Core i3-1210U,6 / 8,BGA 1781,"Feb 23rd, 2022"
12,Core i3-1215U,6 / 8,BGA 1744,"Feb 23rd, 2022"
13,Core i3-1215U (IPU),6 / 8,BGA 1744,"Feb 23rd, 2022"
14,Core i3-1220P,10 / 12,BGA 1744,"Feb 23rd, 2022"
15,Core i3-12300,4 / 8,Socket 1700,Jan 2022
16,Core i3-12300HE,8 / 12,BGA 1744,Jan 2022
17,Core i3-12300T,4 / 8,Socket 1700,Jan 2022
18,Core i5-1230U,10 / 12,BGA 1781,"Feb 23rd, 2022"
19,Core i5-1235U,10 / 12,BGA 1744,"Feb 23rd, 2022"
20,Core i5-1235U (IPU),10 / 12,BGA 1744,"Feb 23rd, 2022"
21,Core i5-12400,6 / 12,Socket 1700,"Jan 4th, 2022"
22,Core i5-12400F,6 / 12,Socket 1700,"Jan 4th, 2022"
23,Core i5-12400T,6 / 12,Socket 1700,Jan 2022
24,Core i5-1240P,12 / 16,BGA 1744,"Feb 23rd, 2022"
25,Core i5-1240U,10 / 12,BGA 1781,"Feb 23rd, 2022"
26,Core i5-12450H,8 / 12,BGA 1744,Jan 2022
27,Core i5-12450HX,8 / 12,BGA 1964,"May 10th, 2022"
28,Core i5-1245U,10 / 12,BGA 1744,"Feb 23rd, 2022"
29,Core i5-12490F,6 / 12,Socket 1700,2022
30,Core i5-12500,6 / 12,Socket 1700,"Jan 4th, 2022"
31,Core i5-12500E,6 / 12,Socket 1700,Jan 2022
32,Core i5-12500H,12 / 16,BGA 1744,Jan 2022
33,Core i5-12500T,6 / 12,Socket 1700,Jan 2022
34,Core i5-12500TE,6 / 12,Socket 1700,Jan 2022
35,Core i5-1250P,12 / 16,BGA 1744,"Feb 23rd, 2022"
36,Core i5-12600,6 / 12,Socket 1700,Jan 2022
37,Core i5-12600H,12 / 16,BGA 1744,Jan 2022
38,Core i5-12600HE,12 / 16,BGA 1744,Jan 2022
39,Core i5-12600HX,12 / 16,BGA 1964,"May 10th, 2022"
40,Core i5-12600T,6 / 12,Socket 1700,Jan 2022
41,Core i5-13600K,14 / 20,Socket 1700,"Sep 27th, 2022"
42,Core i5-13600KF,14 / 20,Socket 1700,"Sep 27th, 2022"
43,Core i7-1250U,10 / 12,BGA 1781,"Feb 23rd, 2022"
44,Core i7-1255U,10 / 12,BGA 1744,"Feb 23rd, 2022"
45,Core i7-1260P,12 / 16,BGA 1744,"Feb 23rd, 2022"
46,Core i7-1260U,10 / 12,BGA 1781,"Feb 23rd, 2022"
47,Core i7-12650H,10 / 16,BGA 1744,Jan 2022
48,Core i7-12650HX,14 / 20,BGA 1964,"May 10th, 2022"
49,Core i7-1265U,10 / 12,BGA 1744,"Feb 23rd, 2022"
50,Core i7-12700,12 / 20,Socket 1700,Jan 2022
51,Core i7-12700E,12 / 20,Socket 1700,Jan 2022
52,Core i7-12700F,12 / 20,Socket 1700,"Jan 4th, 2022"
53,Core i7-12700H,14 / 20,BGA 1744,Jan 2022
54,Core i7-12700T,12 / 20,Socket 1700,Jan 2022
55,Core i7-12700TE,12 / 20,Socket 1700,Jan 2022
56,Core i7-1270P,12 / 16,BGA 1744,"Feb 23rd, 2022"
57,Core i7-12800H,14 / 20,BGA 1744,Jan 2022
58,Core i7-12800HE,14 / 20,BGA 1744,Jan 2022
59,Core i7-12800HX,16 / 24,BGA 1964,"May 10th, 2022"
60,Core i7-1280P,14 / 20,BGA 1744,"Feb 23rd, 2022"
61,Core i7-12850HX,16 / 24,BGA 1964,"May 10th, 2022"
62,Core i7-13700K,16 / 24,Socket 1700,"Sep 27th, 2022"
63,Core i7-13700KF,16 / 24,Socket 1700,"Sep 27th, 2022"
64,Core i9-12900,16 / 24,Socket 1700,"Jan 4th, 2022"
65,Core i9-12900E,16 / 24,Socket 1700,"Jan 4th, 2022"
66,Core i9-12900F,16 / 24,Socket 1700,"Jan 4th, 2022"
67,Core i9-12900H,14 / 20,BGA 1744,"Jan 4th, 2022"
68,Core i9-12900HK,14 / 20,BGA 1744,"Jan 4th, 2022"
69,Core i9-12900HX,16 / 24,BGA 1964,"May 10th, 2022"
70,Core i9-12900KS,16 / 24,Socket 1700,"Apr 5th, 2022"
71,Core i9-12900T,16 / 24,Socket 1700,"Jan 4th, 2022"
72,Core i9-12900TE,16 / 24,Socket 1700,"Jan 4th, 2022"
73,Core i9-12950HX,16 / 24,BGA 1964,"May 10th, 2022"
74,Core i9-13900K,24 / 32,Socket 1700,"Sep 27th, 2022"
75,Core i9-13900KF,24 / 32,Socket 1700,"Sep 27th, 2022"
76,Pentium 8500,5 / 6,BGA 1781,"Feb 23rd, 2022"
77,Pentium 8505,5 / 6,BGA 1744,"Feb 23rd, 2022"
78,Pentium 8505 (IPU),5 / 6,BGA 1744,"Feb 23rd, 2022"
79,Pentium Gold G7400,2 / 4,Socket 1700,"Jan 4th, 2022"
80,Pentium Gold G7400E,2 / 4,Socket 1700,"Jan 4th, 2022"
81,Pentium Gold G7400T,2 / 4,Socket 1700,"Jan 4th, 2022"
82,Pentium Gold G7400TE,2 / 4,Socket 1700,"Jan 4th, 2022"
